scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S6_UPRISK,real_0026,37.12866109826683,4.826129795933099,25.0,52181.948798736936
S6_UPRISK,real_0028,29.818085397049042,1.4095274671638478,27.0,55974.81214187968
S6_UPRISK,real_0029,29.638582141056325,2.5289813924905857,33.0,36347.07503460701
S6_UPRISK,real_0034,38.87633048992048,2.271408561216994,35.0,42107.65156432435
S6_UPRISK,real_0035,34.546103589045295,6.802598177484718,21.0,62101.63213484503
S6_UPRISK,real_0036,37.1499819678228,7.763086700352517,24.0,61934.40109888821
S6_UPRISK,real_0038,28.693942564311286,1.7412318369865574,27.0,43185.06076288868
S6_UPRISK,real_0040,31.210464154866763,1.4884930111081687,24.0,48980.91393003706
S6_UPRISK,real_0044,24.723621201602917,5.738527154788798,18.0,58058.92929682188
S6_UPRISK,real_0045,34.184041257661676,6.116097888180235,20.0,67162.97989140246
S6_UPRISK,real_0046,27.049664901549207,2.1247584889853286,19.0,53736.5198185851
S6_UPRISK,real_0047,20.75803731550592,2.9589456706997055,19.0,51810.932921050975
S6_UPRISK,real_0049,35.67422235760646,7.943598194779554,25.0,62207.53725427239
S6_UPRISK,real_0051,29.3154956777133,2.409938942051596,20.0,69665.471582892
S6_UPRISK,real_0054,29.620968762551726,1.4020966102246675,23.0,53801.70187773208
S6_UPRISK,real_0057,35.995393646849855,14.53693001411894,13.0,88797.12699023301
S6_UPRISK,real_0059,32.506074988444,1.7016748888793387,31.0,45922.063577407025
S6_UPRISK,real_0062,22.939944252823352,2.3284914148293083,25.0,39524.853656249856
S6_UPRISK,real_0063,30.348169258261475,4.95149900216699,20.0,61955.36184877546
S6_UPRISK,real_0064,24.18091414615755,4.3854518501816955,20.0,49597.8126693067
S6_UPRISK,real_0065,30.044358626125838,6.54021388010613,14.0,80643.06654008888
S6_UPRISK,real_0066,24.531665692501587,2.776120278993389,20.0,45799.94138914735
S6_UPRISK,real_0067,34.302485213672576,6.185800393526421,22.0,73421.28435271207
S6_UPRISK,real_0068,18.399821190016876,1.3067820345543808,23.0,34281.86676020918
S6_UPRISK,real_0069,34.49988487292322,16.385339076135118,14.0,98117.64336150704
S6_UPRISK,real_0070,23.364860164081705,1.8440217829687953,20.0,55136.89048080365
S6_UPRISK,real_0071,42.05501507207334,6.140286781811746,29.0,56481.93651344093
S6_UPRISK,real_0072,44.729007071219485,4.980936726641119,35.0,51456.75121657333
S6_UPRISK,real_0073,23.74385901528075,6.631128024221297,18.0,57573.14253714906
S6_UPRISK,real_0074,35.03659336023973,12.191240254751076,18.0,77317.49536251191
S6_UPRISK,real_0075,32.13152108917653,4.7594506061813675,20.0,65791.45110223434
S6_UPRISK,real_0076,31.144233856538484,1.4553354292824494,30.0,44430.180413841
S6_UPRISK,real_0080,31.113966873015023,3.8257961044360655,26.0,51210.688817077855
S6_UPRISK,real_0084,34.61361150203604,1.3930508894440905,30.0,45573.52559914572
S6_UPRISK,real_0086,24.581779535113345,1.0360251295115077,51.0,28989.086270177242
S6_UPRISK,real_0090,26.457037670552516,2.931621688238245,19.0,56811.417844849384
S6_UPRISK,real_0091,30.08787588311638,2.9559157805327487,22.0,51696.49184261526
S6_UPRISK,real_0093,26.391213691175743,2.6410018467078444,23.0,54792.244604482046
S6_UPRISK,real_0094,42.816128964396,25.480201903125938,18.0,76864.20978112477
S6_UPRISK,real_0095,38.345902875554415,11.673537978645225,21.0,70199.25784886081
S6_UPRISK,real_0096,36.89630078830954,1.937183382588124,47.0,34404.09839948908
S6_UPRISK,real_0099,23.61239210720054,3.784827482234384,21.0,53957.766582099684
